Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Periodes_regroupees,Covid19_mesures_specifiques,Covid19_est_en_activite,Covid19_periodes_d_ouvertures_confirmees,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
Le Fort Charlet,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#Store|https://www.datatourisme.fr/ontology/core#ArtGalleryOrExhibitionGallery|http://schema.org/LocalBusiness,42.566671,8.751931,Avenue du Commandant Marche Centre de Conservation et de Restauration du Patrimoine Mobilier de Corse,20260#Calvi,,,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-05-18,#+33 4 20 03 94 75<>+33 4 95 51 64 64#contact@corse.fr#https://www.corse.fr/<>https://www.isula.corsica/,,Cet ancien fort militaire construit en 1845 abrite désormais le Centre de Conservation et de Restauration du Patrimoine Mobilier de Corse.,https://data.datatourisme.fr/13/9100158b-d02e-3904-a0a9-a14918a04749
Fort Torretta - Fort Charlet,https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#DefenceSite,42.566671,8.751931,Avenue du Commandant Marche Centre de Conservation et de Restauration du Patrimoine Mobilier de Corse,20260#Calvi,,,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-08-03,#+33 4 20 03 94 75<>+33 4 95 51 64 64#contact@corse.fr#https://www.corse.fr/<>https://www.isula.corsica/,,"Cet ancien fort militaire dont la construction s'est achevée en 1845, a été bâti d'après les dessins du Capitaine de Génie Militaire Esmenard.",https://data.datatourisme.fr/13/b707c543-ffc4-3822-9329-e1569042c600
L'Acciaro Plage,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,41.546325,9.305087,Plage d'Acciaghju Route de Palombaghja,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-14,#+33 6 18 01 24 33#lacciaroplage@gmail.com#,,"Restaurant avec vue sur les eaux turquoise de la plage d'Acciaghju. Spécialités de poissons, fruits de mer, langoustes, grillades au feu de bois, salades. Plage aménagée. Loisirs nautiques. Service en continu. Réservation uniquement par téléphone.",https://data.datatourisme.fr/13/91091d16-3ead-3477-8059-90fd936d033b
Isula Rossa,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,42.637996,8.935111,Route du port,20220#L'Île-Rousse,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-15,#+33 4 95 60 01 32#hotelisularossa@wanadoo.fr#http://www.isularossa.com/,,"L'hôtel Isula Rossa vous accueille pour votre séjour à L'Ile-Rousse. Une équipe jeune et dynamique vous attend dans cet établissement de charme situé face à la mer et à 300m du centre ville, de la plage et du port.",https://data.datatourisme.fr/13/913ec9c0-a35a-3aff-b110-8dc8e2603fc0
Oxygène,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,41.531,9.2804,Baie de Santa Giulia Marina,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-15,#+33 6 09 69 58 62<>+33 7 52 05 85 35#sub.oxygene@gmail.com#http://oxygene2.plongee.free.fr/,,"Plongée à la carte dans la baie de Santa Giulia. Embarcation (10 pers). 
Baptêmes, formations, FFESSM et plongées NITROX et TECH sur devis. 
Sortie snorkeling.",https://data.datatourisme.fr/13/91798afa-3bb1-3d3a-825c-ce4f1869cd6b
Jet Loc,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,42.63738,8.936084,Avenue David Dary Plage de la gare,20220#L'Île-Rousse,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-01-17,#+33 6 18 12 99 05<>+33 6 18 88 56 90#info@jetloc.fr#https://www.jetskibalagne.com/,,"Jet Loc à L'Ile-Rousse vous propose de nombreuses activités nautiques en tout genre, location de bateaux et jet ski avec ou sans permis, des activités tractées, pedal'eau, flyboard, et parachute ascensionnel pour tous les âges et toutes les envies.",https://data.datatourisme.fr/13/b3817b62-9ffc-3e96-a38e-c3242c4f04d5
Nautimarine,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,42.628118,8.92695,Route de Calvi Lieu-dit Occi,20220#L'Île-Rousse,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-01-20,#+33 4 95 60 00 73<>+33 6 22 70 92 26#nautimarine@nautimarine.com#http://www.nautimarine.com/,,L'agence Nautimarine située à L'Ile-Rousse vous accueille pour vos envies de location de bateaux eT buggys SSV.,https://data.datatourisme.fr/13/b3a08297-6faf-366e-a80d-0c781eb83455
Bonif'Kayak,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,41.372928,9.221199,Plage de Piantarella route de Piantarella,20169#Bonifacio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-15,#+33 6 27 11 30 73#bonifaciokayak@gmail.com#http://www.bonifacio-kayak.com/,,"Numéro 1 du kayak de mer sur le plus beau lagon de Corse ! Guidés par Jessyca et son équipe, voguez en kayak aux îles Lavezzi, à la grotte des amoureux, près des falaises et nagez dans la réserve naturelle.
Location de paddle et cours de yoga-fitness.",https://data.datatourisme.fr/13/b6282439-7cfc-31e7-8bdf-8e4c935fafc6
Les Oliviers,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,42.631253,8.952512,Route de Bastia RT30 La ferme,20220#Monticello,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-01-30,#+33 4 95 60 19 92#contact@camping-oliviers.com#http://www.camping-oliviers.com/,,Le camping les Oliviers vous accueille pour vos prochaines vacances sur son terrain ombragé de vieux oliviers à quelques minutes à pied du centre ville de L'Ile-Rousse et des plages. Vous pourrez vous y restaurer directement sur place.,https://data.datatourisme.fr/13/b72a11ff-cc51-3e2d-a817-db4c033b75dd
Restaurant de la Plage Chez Ange,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,41.468,9.2664,Plage de Rondinara,20169#Bonifacio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-15,#+33 4 95 70 07 08#laplage@rondinara.fr#http://www.rondinara.fr/,,"C'est un régal pour les yeux (sable blanc, eau turquoise) et un bonheur gustatif (poissons, viandes grillées, snack et bar à cocktails). Ouvert 7j/7 et midi et soir en haute saison. Accès par route ou ponton.",https://data.datatourisme.fr/13/b82c50b6-a59b-3de4-aa22-481039fc8835
Club nautique de L'Ile-Rousse,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,42.637557,8.93595,Route du port Plage de la Gare,20220#L'Île-Rousse,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-01-11,#+33 4 95 60 22 55#cnilerousse@gmail.com#http://www.cnir.org/,,"Découvrez le golfe de L'Ile-Rousse grâce à l'expertise du Club nautique de L'Ile-Rousse. Le Club nautique met à votre disposition catamarans, planches à voile, optimists, kayaks, paddle, habitable et funboard.",https://data.datatourisme.fr/13/b89995cb-2183-3a04-83b9-a69d37de4e0f
Terraméa,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,41.59,9.3091,Route de Palombaggia Direction Piccovaggia,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-15,#+33 4 95 50 03 94#terramea@orange.fr#,,"Un ensemble contemporain, une terrasse exceptionnelle, vue sur toute la baie de Porto-Vecchio, une cuisine méditerranéenne. Terraméa vous invite à l'évasion et au raffinement.",https://data.datatourisme.fr/13/bbba189f-c89b-3b0f-8d47-241c994eddcc
Bonifacio Windsurf,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,41.377,9.2217,Plage de Piantarella,20169#Bonifacio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-15,#+33 6 80 31 51 41#outdoorcorsica@gmail.com#https://www.bonifacio-windsurf.com/,,"Ecole et location de windsurf, wing, kayak, stand up paddle. Spot de Piantarella, idéal pour l’apprentissage. Cours en petit groupe ou particulier. Matériel de l'année.",https://data.datatourisme.fr/13/bbe83410-c36d-38cf-bf52-d10825b5dc66
Alta Rocca,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,41.590844,9.279706,6 rue Aspirant Michelin,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-14,#+33 4 20 01 68 26<>+33 6 08 99 60 75#jkpovo@gmail.com#https://jeankpovo.wixsite.com/altarocca20137,,"A l'Alta Rocca, venez déguster notre cuisine traditionnelle d'ici et d'ailleurs, élaborée avec des produits frais ainsi que notre plateau dégustation de spécialités corses de l'Alta Rocca pour 2 personnes. Ouvert tous les jours. Soirées musicales.",https://data.datatourisme.fr/13/bc168510-c0d1-3812-82b1-bbf2bfe4cd88
Le Goéland Beach,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,41.427,9.1055,Plage de la Tonnara,20169#Bonifacio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-15,#+33 4 95 73 02 51<>+33 6 26 71 12 17#jose.perez8@sfr.fr#https://www.legoelandbeach.fr/,,"Une gastronomie simple et authentique élaborée avec des produits frais et locaux. Langoustes et homards, plateaux de poissons issus de la pêche locale. Restaurant sur l'eau avec vue panoramique. Possibilité de privatisation pour tout type d'évènement.",https://data.datatourisme.fr/13/bf95d0a1-7456-3968-bf54-c171eb8ccfb6
Corsiquad,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,42.641324,9.015788,Plage de Losari,20226#Belgodère,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-09-30,#+33 6 15 58 31 97#sascapraia@gmail.com#http://www.corsiquad.fr/,,Partez à la découverte de la côte depuis Losari vers l'Agriate en jet-ski avec Corsiquad. Accompagnés ou par vous-même embarquez pour un pur moment de détente et de plaisir en famille ou entre amis.,https://data.datatourisme.fr/13/bfad0da4-757d-303f-a1b0-89418447b4f5
Cinéma le Fogata,http://schema.org/MovieTheater|https://www.datatourisme.fr/ontology/core#Cinema|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace,42.627771,8.921979,Col de Fogata,20220#L'Île-Rousse,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-09-26,##cinemalefogata@yahoo.fr#http://www.cinema-fogata.com/,,"Le Cinéma le Fogata, unique en Balagne, est à voter disposition toute l'année pour vous présenter les derniers films de l'actualité cinématographique. Vous pourrez également assister à des concerts ou des représentations de théâtre.",https://data.datatourisme.fr/13/c0695133-f600-38c9-97ab-1eca3b9fe9ca
Musée privé de Guy Savelli,http://schema.org/Museum|https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#Museum|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/LocalBusiness,42.614937,8.905802,Place de l'église,20220#Corbara,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-22,#+33 4 95 60 06 65##,,"Pendant votre séjour à L'Ile-Rousse et en Balagne, partez à la rencontre de Guy Savelli, ce passionné d'histoire qui vous retracera l'histoire de la Balagne et de la Corse à travers une collection riche d'objets divers et anciens.",https://data.datatourisme.fr/13/c0d978bc-6957-3633-a4ca-f134918bf390
Chez Anna,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,41.591,9.2788,16 Rue du Docteur Camille de Rocca Serra,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-14,#+33 4 95 70 19 97#lerestaurantchezanna@gmail.com#,,"Restaurant de spécialités italiennes perpétuant la tradition du fait maison, de pâtes fraîches, gnocchi, ravioli ainsi que des plats phares tels que la Marinara ou encore l'escalope de veau corse façon Romana.",https://data.datatourisme.fr/13/c2c73af8-d353-35ed-b852-947cb10acb90
Tennis Club de L'Ile-Rousse,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#TennisComplex,42.630573,8.934669,Route de Calvi,20220#L'Île-Rousse,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-04-08,#+33 4 95 60 20 71#tc-ilerousse@wanadoo.fr#http://www.club.fft.fr/tc-ilerousse,,"Le Tennis Club de L'Ile-Rousse vous accueille pour votre pratique du tennis. Avec ses 4 courts éclairés, son club house et ses professeurs spécialisés vous promettent une expérience  sous le signe de la convivialité.",https://data.datatourisme.fr/13/c546ab1d-6237-30d5-8e1c-78ab047e5404
Gliss1Flo,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,42.674299,9.301336,Port de plaisance Port de Saint-Florent,20217#Saint-Florent,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-04-07,#+33 6 15 71 12 19#contact@gliss1flo.com#http://www.gliss1flo.com/,,"Avec Gliss1Flo, découvrez tous les plaisirs de la mer : randonnées en jet-ski vers l'Agriate ou le Cap Corse, parachute ascensionnel, flyboard, bouée tractée mais aussi le ski nautique et le wake-board le tout avec des moniteurs chaleureux et passionnés.",https://data.datatourisme.fr/13/c574fe56-fbce-3fb7-a02c-f0607fdb3542
Marinella,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,42.634059,8.941699,La Plage Promenade A Marinella,20220#L'Île-Rousse,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-22,#+33 4 95 60 28 36#marinella.ir@gmail.com<>gabrielli.michel0431@orange.fr#http://www.restaurant-marinella.com/,,"Le restaurant Marinella vous propose une cuisine raffinée dans une ambiance lounge les pieds dans l'eau. Situé sur la plage de L'Ile-Rousse, vous y dégusterez une cuisine issue de la production corse. Concerts chaque vendredi soir",https://data.datatourisme.fr/13/c5fa23a4-3f76-3490-84fe-5ab3c95276f6
Bel Horizon,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,42.508347,8.854934,4 place du Prince Pierre,20214#Calenzana,,,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2020-10-13,#+33 4 95 62 71 72<>+33 4 95 62 79 92<>+33 6 80 10 76 88<>+33 6 80 10 79 02#contact@calenzana.com#http://www.calenzana.com/,,"Situé au cœur du village de Calenzana, face à l’église Saint Blaise, l’hôtel offre un confort simple et soigné. Nos amis randonneurs qui souhaitent se mesurer au GR20 ou Mare è Monti puisque il n'est qu'à 2 minutes du départ de ces grandes randonnées.",https://data.datatourisme.fr/13/c645bc60-b1b5-35a5-a1c7-a17fc8336c56
Le Clos des Sens,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,42.549402,8.782809,Rond point de l'aéroport,20260#Calvi,,,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-05-03,#+33 4 95 30 70 56#leclosdessens20260@gmail.com#,,"Ce restaurant de Calvi en Balagne vous propose une cuisine traditionnelle corse, des pierrades, des grillades et des ""repas oenologiques"". L'ambiance est aussi chaleureuse que ses plats; on s'y sent ""comme à la maison"".",https://data.datatourisme.fr/13/c653e169-8dc8-30f9-9003-3c4d16077d50
Port Eugène Ceccaldi - Marine de Sant'Ambroggio,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#Marina|https://www.datatourisme.fr/ontology/core#RiverPort|https://www.datatourisme.fr/ontology/core#Transport,42.603016,8.827311,Marine de Sant'Ambroggio SC YACHTING CLUB,20260#Lumio,,,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-06-03,#+33 4 95 60 70 88<>+33 6 47 50 37 02#santambroggioyachtingclub@orange.fr#,,"Situé sur la commune de Lumio, au cœur de la marine de Sant'Ambroggio, le Port de Plaisance Eugène CECCALDI se trouve à mi-distance entre Calvi et Ile Rousse.",https://data.datatourisme.fr/13/cdfa7410-734d-3cd0-a122-2d05ea8db36f
Alivi di Santa Giulia,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,41.537658,9.278651,Marina di Santa Giulia,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-03-15,#+33 4 95 52 01 68<>+33 6 65 62 56 60#contact@hotelalivi.com#http://www.santa-giulia.fr/,,"Un lieu entre parenthèses intimiste où la douceur de vivre fait que le temps est suspendu même en plein mois d'août.
Un écrin de verdure au plus près des plages de sable fin du sud-est de la Corse, baigné par le soleil.",https://data.datatourisme.fr/13/d4142868-84a2-3b08-9666-a0dce7bdab31
Santa Giulia Ski Club,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,41.591369,9.278311,Plage de Santa Giulia,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-20,#+33 6 19 54 64 19#fredmartinetti@gmail.com#http://www.santa-giulia-ski-club.com/,,"Ski, wakeboard, monoski, bouées tractées. Leçons pour débutants et confirmés, à partir de 4 ans . Moniteurs diplômés d’État. Le club possède 3 Master Crafts équipés de tours de wake.",https://data.datatourisme.fr/13/d4280094-feff-3cf4-afb2-8e21d3afd8de
Corse Nature Évasion,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,41.531835,9.276207,Plage de Santa Giulia,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-15,#+33 6 17 19 01 21<>+33 6 74 44 25 48#mp.cerbera@wanadoo.fr#http://www.corsenatureevasion.com/,,"Située sur la plage de Santa Giulia, perle de la Méditerranée, Corse Nature Evasion vous propose des randonnées en jet-ski sans permis, encadrées par des moniteurs. Location de jet-ski, Flyboard et paddles électriques.",https://data.datatourisme.fr/13/4313089d-ed8d-3563-a8c9-44839ed28ec9
Pitrera Village,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,41.634,9.2945,RT10 Village de Trinité,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-01-25,#+33 4 95 70 20 10#pitrera@orange.fr#http://www.pitrera.com/,,"Agréable et ombragé, notre camping se situe à 5 km de Porto-Vecchio.
Vous pourrez profiter de la piscine chauffée, du bar-restaurant et de nos toboggans. Ouvert d’avril à octobre, nous vous attendons en chalets ou en tentes.",https://data.datatourisme.fr/13/d4d9e1a3-dae8-3106-9ccc-823c40e886f0
Club de voile de Bonifacio,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,41.377,9.2216,Piantarella,20169#Bonifacio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-15,#+33 6 83 17 37 17#info@ecole-windsurf.com#http://www.ecole-windsurf.com/,,"Dans une zone de navigation exceptionnelle, location de catamaran, windsurf, dériveur, kayak, SUP et wingfoil ! Cours collectifs, particuliers et location. Activités encadrées par des moniteurs diplômés d’État. A partir de 4 ans. Affilié FFV.",https://data.datatourisme.fr/13/d5fa11f0-66b5-33f3-b645-0ac57835af45
Croisière des Îles,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#SightseeingBoat|http://schema.org/LocalBusiness,41.376854,9.221687,Piantarella,20169#Bonifacio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-20,#+33 6 83 17 37 17#info@voilesdebonifacio.com#http://www.voilesdebonifacio.com/,,"Croisière en mer en catamaran à voile au départ de Bonifacio pour les Îles Lavezzi - Cavallo ou Nord Sardaigne. À la journée ou demie-journée. Repas à bord à la demande. Escales Snorkeling, Paddle board. Possibilité de privatisation. Affilié FF Voile.",https://data.datatourisme.fr/13/d0046c25-44e5-34f0-b0a4-0ce2f3d69f08
L'Antigu,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,41.590072,9.279552,51 rue Borgu,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-14,#+33 4 95 70 39 33##,,"Ouvert midi et soir. Au cœur de la Citadelle, l'Antigu vous propose sa cuisine de qualité, élaborée entièrement avec des produits du terroir. Salle climatisée, terrasse plein-air, vue exceptionnelle sur le Golfe. 
Recommandé par de nombreux guides.",https://data.datatourisme.fr/13/d62ce3ab-feaf-3061-9eb6-f3661826faa3
Héli Sud Corse,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace,41.581,9.2764,Rue du 9 septembre 1943,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-21,#+33 892 49 44 94#info@helisudcorse.com<>info@jetbooking.fr#http://www.helisudcorse.com/<>https://jetbooking.fr/fr/,,"Vols panoramiques à partir de 20 minutes de vol (Bonifacio, Palombaggia, Bavella ...) Transferts privés, Héli restaurants",https://data.datatourisme.fr/13/d66e0ff2-7a9d-3aaa-a5b1-992e28466925
